run_id,attack.enabled,attack.scale,attack.noise_std,seed,attack_enabled,target_client,canary_src,canary_dst,control_src,control_dst,canary_loss,control_loss,exposure_gap,target_rank,mi_member_mean_loss,mi_nonmember_mean_loss,mi_auc
0,False,1.0,0.0,42,False,1,9,35,5,9,4.77836910041846,4.8686681648087555,0.09029906439029567,1,4.849158739159251,4.852184562079967,0.96875
1,False,1.0,0.01,43,False,1,48,46,5,9,4.828248075443732,4.853486668375654,0.0252385929319221,3,4.849773092969299,4.851721824888449,1.0
2,False,1.25,0.0,44,False,1,80,3,5,9,4.794363109643799,4.869091179673076,0.07472807002927695,1,4.848862386041022,4.852177595567097,1.0
3,False,1.25,0.01,45,False,1,80,43,5,9,4.776559105565371,4.844233523932125,0.06767441836675392,1,4.8496935251730555,4.852555128614858,0.984375
4,False,1.5,0.0,46,False,1,58,34,5,9,4.7994649513486305,4.854242632594349,0.054777681245718135,1,4.849055086853914,4.851797575321159,1.0
5,False,1.5,0.01,47,False,1,12,111,5,9,4.783774610362155,4.863573142763134,0.07979853240097956,1,4.8491783144147735,4.852296824665599,1.0
6,False,1.75,0.0,48,False,1,101,85,5,9,4.79618519382733,4.852687744063997,0.05650255023666695,1,4.849181616168713,4.851975229383854,1.0
7,False,1.75,0.01,49,False,1,118,95,5,9,4.796327922855548,4.82696144715152,0.03063352429597188,2,4.849027620427178,4.852159920360402,1.0
8,False,2.0,0.0,50,False,1,105,42,5,9,4.7792583898284065,4.848204758588789,0.06894636876038263,1,4.849132395900142,4.852329512886535,1.0
9,False,2.0,0.01,51,False,1,5,8,5,9,4.743996314184156,4.886291622346909,0.14229530816275293,1,4.849191458595341,4.852183521355975,0.953125
10,True,1.0,0.0,52,True,1,88,115,5,9,4.830471588590469,4.859740764645722,0.029269176055253254,4,4.84977413942195,4.852280520771366,1.0
11,True,1.0,0.01,53,True,1,115,87,5,9,4.811782199194393,4.840191403146784,0.028409203952390882,1,4.849884977877714,4.851896737222211,0.984375
12,True,1.25,0.0,54,True,1,87,8,5,9,4.733461432211777,4.855311414168905,0.12184998195712815,1,4.848652092793879,4.8521467413555195,0.953125
13,True,1.25,0.01,55,True,1,11,100,5,9,4.748188376512768,4.88420879046557,0.13602041395280207,1,4.848435827625426,4.852410702332623,1.0
14,True,1.5,0.0,56,True,1,89,94,5,9,4.792139421838104,4.860944230800302,0.06880480896219865,2,4.847996093662831,4.852872725187026,1.0
15,True,1.5,0.01,57,True,1,32,94,5,9,4.816800161056892,4.861479018499362,0.04467885744247013,5,4.84931532977078,4.8520012463672515,0.828125
16,True,1.75,0.0,58,True,1,44,101,5,9,4.74637532411608,4.875732141499658,0.12935681738357818,2,4.850885344815918,4.863495375601508,0.890625
17,True,1.75,0.01,59,True,1,9,124,5,9,4.799444167397515,4.872058894451516,0.07261472705400163,2,4.85598422080982,4.859967251114782,0.875
18,True,2.0,0.0,60,True,1,21,72,5,9,4.776048064778234,4.877631216593712,0.10158315181547817,3,5.104548199820373,5.153177860366119,0.6875
19,True,2.0,0.01,61,True,1,74,106,5,9,4.770818849929022,4.871955062880112,0.10113621295108999,2,4.920795273263837,4.94215632708077,0.703125
