run_id,attack.attack_steps,attack.lr_g,transaction_data.max_rows,seed,target_client_id,target_private_class,global_test_accuracy,mean_distance_to_target_private,covariance_distance_to_target_private,nearest_neighbor_distance,target_confidence_on_generated,final_discriminator_loss,final_generator_loss
0,0,0.02,80000,101,4,1,0.942,1.3282413302760874,0.7951516533220491,0.626907759677172,0.2000704366645648,0.0,0.0
1,0,0.02,120000,102,4,1,0.94325,1.3359454791547274,0.7520669738452285,0.635044261567638,0.21078212234273075,0.0,0.0
2,0,0.025,80000,103,4,1,0.937375,1.336277654071752,0.7681498766244302,0.6235379505399729,0.19068112397816567,0.0,0.0
3,0,0.025,120000,104,4,1,0.941125,1.3306395512035736,0.7931494252079169,0.6460079235741955,0.21029132655440136,0.0,0.0
4,120,0.02,80000,105,4,1,0.9406875,0.30060217916444176,0.9532264372236077,0.028117026196772043,0.6196452255158086,1.3694242295200332,1.347684861427364
5,120,0.02,120000,106,4,1,0.93975,0.28538352698644487,0.9553776840962104,0.03568380574670796,0.6097997218525661,1.347473521859081,1.3644810987637435
6,120,0.025,80000,107,4,1,0.936875,0.31873332581809316,0.9510469121270736,0.034114925618169686,0.632071254257721,1.3879757309189324,1.3116652990584243
7,120,0.025,120000,108,4,1,0.9380833333333334,0.33539952837799114,0.9700796872239399,0.038150905607805125,0.6286168145628878,1.3826473718421566,1.333156428251476
8,220,0.02,80000,109,4,1,0.942375,0.33783180210791774,0.954785987335047,0.0329459568421092,0.6517484043753947,1.3534000810493039,1.2892194607651504
9,220,0.02,120000,110,4,1,0.9408333333333333,0.350424893675043,0.9710641881646895,0.014629368468093986,0.6488942873865398,1.3652652536903673,1.3001761698148533
10,220,0.025,80000,111,4,1,0.9398125,0.37180086534258905,0.9565793250598962,0.04199125779526007,0.6610693079672388,1.3479360579273634,1.2739673163750482
11,220,0.025,120000,112,4,1,0.9405833333333333,0.3606943340856548,0.9705471175352774,0.03344495605572017,0.6569779995410865,1.3786306705724836,1.2880943279205088
